,date,holiday__Confraternização Universal,holiday__Dia Nacional de Zumbi e da Consciência Negra,holiday__Dia do Trabalhador,holiday__Finados,holiday__Independência do Brasil,holiday__Natal,holiday__Nossa Senhora Aparecida,holiday__Proclamação da República,holiday__Sexta-feira Santa,holiday__Tiradentes,channelA,channelB,channelC,channelD
0,2018-06-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048917600132182354,0.04598038562545339,0.06296587900022899,0.05249253053602412
1,2018-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048917600132182354,0.04896075723883089,0.06611477651131557,0.056263190744404126
2,2018-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048917600132182354,0.04986570910730369,0.06544027298277119,0.05629124863179797
3,2018-07-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04844916528797536,0.051827341327935754,0.06859738048083927,0.051850063224851375
4,2018-07-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048177688072614445,0.053463314755653295,0.06859738048083927,0.04924753984793879
5,2018-07-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04728804356502849,0.053463314755653295,0.07102294981923925,0.049895579755752005
6,2018-07-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04690566648203882,0.05459828366939749,0.07102294981923925,0.050024018580754406
7,2018-07-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04690566648203882,0.05571243697722899,0.07035181632369414,0.04870606561183771
8,2018-07-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046873023957513874,0.05893044024885518,0.07101932230445149,0.0499075388853218
9,2018-07-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04604404632088392,0.058794232008497746,0.0704418330660412,0.05068721753035456
10,2018-07-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04549714594710122,0.06208700872553268,0.06936141759353402,0.04737654841514119
11,2018-07-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04567454008030508,0.062058269446343885,0.06857772948724263,0.04737554502650092
12,2018-07-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045612831253126686,0.062058269446343885,0.06857772948724263,0.04737374923798402
13,2018-07-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04565233212006513,0.06065806943808122,0.06840786422075895,0.04737374923798402
14,2018-07-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04566058137016054,0.05925619898084304,0.06845281381567432,0.04737374923798402
15,2018-07-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04566058137016054,0.0596889033523968,0.07209164594922207,0.04829554788099532
16,2018-07-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04528071242961414,0.05914739135429187,0.07677945954209012,0.04887186202355715
17,2018-07-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04507353355025338,0.059281011106655485,0.07623570472435842,0.04791759449633504
18,2018-07-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04558621492971677,0.05794751699375697,0.08123432291803949,0.04792680868374809
19,2018-07-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04649593633741992,0.05785234130405094,0.08430113129068749,0.04831903642207336
20,2018-07-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04626176239897152,0.05785234130405094,0.08702671604208678,0.04784840070976348
21,2018-07-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04678255446131375,0.05767231888251055,0.08253431466788129,0.04920925078067715
22,2018-07-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04678255446131375,0.05810931441907139,0.08484829509372586,0.04973897136760876
23,2018-07-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04678255446131375,0.061402219839579004,0.09055594439305367,0.049233836970423786
24,2018-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04684893238359817,0.06117951501003307,0.09138374365072417,0.049233836970423786
25,2018-07-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04669545070938854,0.060934079752113866,0.0968745183530801,0.045047522345341574
26,2018-07-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045959433810875076,0.0612667986264981,0.09804989242392297,0.045047522345341574
27,2018-07-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046712548992819514,0.0612667986264981,0.09804989242392297,0.04515167071732537
28,2018-07-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04685654777088558,0.05963176887124926,0.09986929330300261,0.04515167071732537
29,2018-07-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04621657867705137,0.05998063517938717,0.0984332985703458,0.046738684542774654
30,2018-07-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04621657867705137,0.06065615404427715,0.09849855354280788,0.04648643138696266
31,2018-07-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04583343739759201,0.06065615404427715,0.09373011712919269,0.04473955466824104
32,2018-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04467442080049358,0.06044108207679797,0.09542612630550333,0.049459433257320426
33,2018-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044593085149446196,0.0636376141200969,0.09565830594125332,0.04593920586583613
34,2018-08-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04472631585664207,0.06317306092096833,0.09565472986352105,0.0444085274114956
35,2018-08-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04472631585664207,0.06337003703900129,0.09849499034014025,0.04805205728540617
