,date,channelA,channelB,channelC,channelD,holidays,holidays/holiday__Confraternização Universal,holidays/holiday__Dia Nacional de Zumbi e da Consciência Negra,holidays/holiday__Dia do Trabalhador,holidays/holiday__Finados,holidays/holiday__Independência do Brasil,holidays/holiday__Natal,holidays/holiday__Nossa Senhora Aparecida,holidays/holiday__Proclamação da República,holidays/holiday__Sexta-feira Santa,holidays/holiday__Tiradentes,mean,monthly_seasonality,obs,trend,weekly_seasonality,yearly_seasonality
0,2018-06-29,0.11501754,0.038812645,0.018914917,0.02323145,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.56254816,-0.0069559356,0.5517447,0.40381452,0.007522067,-0.037809063
1,2018-06-30,0.11450112,0.038695138,0.023251932,0.025585353,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.55359966,-0.0036923795,0.58996505,0.40381452,-0.009638912,-0.038917147
2,2018-07-01,0.1142916,0.03822195,0.02599212,0.02628071,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.56903064,-0.0017070471,0.6167086,0.40381452,0.0021519244,-0.040015094
3,2018-07-02,0.113605,0.040523365,0.028068133,0.026476767,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.5755714,-0.0016540057,0.59084064,0.40381452,0.0058399932,-0.041102346
4,2018-07-03,0.113745436,0.040612772,0.029353948,0.027355256,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.5655357,-0.0033206132,0.5240069,0.40381452,-0.0038472733,-0.04217834
5,2018-07-04,0.11341072,0.04050249,0.030145684,0.02768993,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.57188386,-0.005795011,0.58428305,0.40381452,0.0053579826,-0.043242518
6,2018-07-05,0.113233,0.04197384,0.030673217,0.026524067,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.5566495,-0.007889014,0.411332,0.40381452,-0.007385782,-0.044294327
7,2018-07-06,0.11292101,0.04221388,0.031027153,0.026007304,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.5695286,-0.008644081,0.5906376,0.40381452,0.007522067,-0.04533322
8,2018-07-07,0.11259798,0.041909,0.031257946,0.025762562,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.5516232,-0.0077212187,0.5740794,0.40381452,-0.009638912,-0.04635864
9,2018-07-08,0.112178974,0.04181203,0.031349946,0.025626106,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.56403905,-0.0055244574,0.5626455,0.40381452,0.0021519244,-0.047370046
10,2018-07-09,0.11209995,0.041702338,0.03130788,0.025530491,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.56891525,-0.0030130583,0.55211633,0.40381452,0.0058399932,-0.0483669
11,2018-07-10,0.11178955,0.043000083,0.031154979,0.025471142,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.5607549,-0.0012795149,0.5731655,0.40381452,-0.0038472733,-0.049348664
12,2018-07-11,0.11149918,0.042880658,0.031012226,0.025767066,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.5689544,-0.0010624944,0.5161436,0.40381452,0.0053579826,-0.05031481
